연번,자치구,신호등종류,위도,경도,주소
170,강남구,보행등,37.49887402,127.0313221,강남구 역삼동 637-6 대
171,강남구,보행등,37.49877324,127.031259,강남구 역삼동 858-13 도
172,강남구,보행등,37.49919303,127.0310325,강남구 역삼동 800-61 도
173,강남구,보행등,37.49871544,127.0310879,강남구 역삼동 637 대
174,강남구,보행등,37.48967378,127.0413844,강남구 도곡동 543-4 대
175,강남구,보행등,37.49738088,127.0319145,강남구 역삼동 647-9 대
176,강남구,보행등,37.49722597,127.0319951,강남구 역삼동 828 대
177,강남구,보행등,37.49717105,127.0318175,강남구 역삼동 858-13 도
178,강남구,보행등,37.49270998,127.0341606,강남구 역삼동 834-27 대
179,강남구,보행등,37.49264966,127.0339819,강남구 역삼동 858-15 도
180,강남구,보행등,37.48732084,127.1014005,강남구 수서동 711 학
181,강남구,보행등,37.48708541,127.1014332,강남구 수서동 711 학
182,강남구,보행등,37.48995002,127.0530016,강남구 도곡동 106-1 학
183,강남구,보행등,37.49565907,127.0861803,강남구 일원동 460천
184,강남구,보행등,37.48579284,127.0863396,강남구 수서동 50 대
185,강남구,보행등,37.49076232,127.0556007,강남구 대치동 645 대
186,강남구,보행등,37.48577592,127.0414772,강남구 도곡동 산179임
187,강남구,보행등,37.48541828,127.0416763,강남구 도곡동 산 31-1 임
188,강남구,보행등,37.49059292,127.055145,강남구  670 대
189,강남구,보행등,37.51743054,127.0437257,강남구 삼성동 26-5 대
190,강남구,보행등,37.50647285,127.0235786,강남구 논현동 145-13 대
191,강남구,보행등,37.50647285,127.0235786,강남구 논현동 145-13 대
192,강남구,보행등,37.48408365,127.0891109,강남구 수서동 산10-1임
193,강남구,보행등,37.48389206,127.089257,강남구 수서동 산10-1임
194,강남구,보행등,37.49519334,127.0289799,강남구 역삼동 824-17 대
195,강남구,보행등,37.49519334,127.0289799,강남구 역삼동 824-17 대
196,강남구,보행등,37.50548619,127.0528725,강남구 대치동 130-2 대
197,강남구,보행등,37.52761637,127.0334096,강남구 신사동 480 공
198,강남구,보행등,37.49602241,127.0528755,강남구 도곡동 923-12 대
199,강남구,보행등,37.49606009,127.0527989,강남구 도곡동 923-10 대
200,강남구,보행등,37.49256865,127.0411342,강남구 역삼동 777-12 대
201,강남구,보행등,37.49562693,127.028968,강남구 역삼동 804 도
202,강남구,보행등,37.48254069,127.0800448,강남구 일원동 714 학
203,강남구,보행등,37.5149983,127.0642513,강남구 삼성동 99-1 대
204,강남구,보행등,37.49089538,127.0550878,강남구 도곡동 670 대
205,강남구,보행등,37.48476183,127.0465767,강남구 도곡동 174-4답
206,강남구,보행등,37.48953733,127.0688342,강남구 개포동 513-3 천
207,강남구,보행등,37.50102005,127.0261983,강남구 역삼동 800-31 도
208,강남구,보행등,37.50102005,127.0261983,강남구 역삼동 800-31 도
209,강남구,보행등,37.48808551,127.0528957,강남구 도곡동 91 학
210,강남구,보행등,37.48815272,127.0530452,강남구 도곡동 91 학
211,강남구,보행등,37.48581255,127.0978699,강남구 수서동 733-4 도
212,강남구,보행등,37.48571299,127.0977804,강남구 수서동 733-4 도
213,강남구,보행등,37.49216664,127.0411338,강남구 도곡동 807-15 도
214,강남구,보행등,37.50085522,127.0365968,강남구 역삼동 670-3 대
215,강남구,보행등,37.51535876,127.0661137,강남구 삼성동 186-3천
216,강남구,보행등,37.48855611,127.0499138,강남구 도곡동 산24-1 임
217,강남구,보행등,37.49724819,127.042046,강남구 역삼동 722-2 대
