주소,위도,경도,CCTV 수량,설치목적
서울특별시 광진구 군자로12길 45 (군자동),37.54674,127.09056,1,어린이보호
서울특별시 광진구 긴고랑로 136 (중곡동),37.55369,127.08339,1,어린이보호
서울특별시 광진구 긴고랑로 152 (중곡동),37.55275,127.0837,1,어린이보호
서울특별시 광진구 긴고랑로 51 (중곡동),37.56144,127.07938,1,어린이보호
서울특별시 광진구 긴고랑로13길 10 (중곡동),37.5585,127.08545,1,어린이보호
"서울특별시 광진구 긴고랑로7길 60 (중곡동, 주원그린빌)",37.55751,127.08257,1,어린이보호
서울특별시 광진구 능동로 145 (화양동),37.54245,127.10148,1,어린이보호
서울특별시 광진구 능동로 209 (군자동),37.54588,127.1036,1,어린이보호
서울특별시 광진구 능동로 42 (자양동),37.5402,127.08916,1,어린이보호
서울특별시 광진구 능동로 42 신양초교 후문입구,37.53917,127.08759,1,어린이보호
서울특별시 광진구 능동로13길 15 (화양동),37.53917,127.0843,1,어린이보호
서울특별시 광진구 능동로49길 9 (중곡동),37.55719,127.07504,1,어린이보호
서울특별시 광진구 능동로4길 88 (자양동),37.55419,127.07582,1,어린이보호
"서울특별시 광진구 능동로53길 13 (중곡동, 정인주택)",37.55244,127.07497,1,어린이보호
서울특별시 광진구 능동로5길 17 (자양동),37.55323,127.08057,1,어린이보호
서울특별시 광진구 긴고랑로 12길 40 (중곡동),37.55473,127.08385,1,생활방범
서울특별시 광진구 긴고랑로 185-2 (중곡동),37.55297,127.08556,1,생활방범
서울특별시 광진구 긴고랑로 19 (중곡동),37.55273,127.08576,1,생활방범
서울특별시 광진구 긴고랑로 26길 23 (중곡동),37.5521,127.08766,1,생활방범
서울특별시 광진구 긴고랑로 36길 5 (중곡동),37.55411,127.07857,1,생활방범
서울특별시 광진구 긴고랑로 36길57 (중곡동),37.552,127.07819,1,생활방범
서울특별시 광진구 긴고랑로 39길 54,37.55523,127.07917,1,생활방범
서울특별시 광진구 긴고랑로 44길 26-12,37.55322,127.07943,1,생활방범
서울특별시 광진구 아차산로46길 23 (자양동),37.53399,127.06503,1,생활방범
서울특별시 광진구 아차산로49길 32 (구의동),37.56121,127.07988,1,생활방범
서울특별시 광진구 아차산로49길 50 (구의동),37.55859,127.08245,1,생활방범
서울특별시 광진구 아차산로49길 70 (구의동),37.55657,127.09368,1,생활방범
서울특별시 광진구 아차산로51길 23 (구의동),37.55475,127.08082,1,생활방범
서울특별시 광진구 아차산로53길 29 (구의동),37.53302,127.08695,1,생활방범
서울특별시 광진구 아차산로53길 38-12 (구의동),37.53212,127.07343,1,생활방범
서울특별시 광진구 아차산로53길 53 (구의동),37.53364,127.06659,1,생활방범
서울특별시 광진구 아차산로53길 62-14,37.54237,127.08508,1,생활방범
서울특별시 광진구 아차산로53길 77 (구의동),37.5509,127.09435,1,생활방범
서울특별시 광진구 아차산로55길 23 (구의동),37.54216,127.09093,1,생활방범
서울특별시 광진구 아차산로55길 81 (구의동),37.56721,127.08896,1,생활방범
서울특별시 광진구 아차산로57길 14 (구의동),37.56727,127.08839,1,생활방범
서울특별시 광진구 아차산로57길 41 (구의동),37.56726,127.08796,1,생활방범
서울특별시 광진구 아차산로58가길15,37.56687,127.08788,1,생활방범
서울특별시 광진구 아차산로58길 77 (구의동),37.56076,127.08405,1,생활방범
서울특별시 광진구 아차산로59길 13 (구의동),37.56843,127.0811,1,생활방범
서울특별시 광진구 아차산로59길 21-13 (구의동),37.55708,127.09127,1,생활방범
서울특별시 광진구 아차산로59길 49 (구의동),37.56027,127.0897,1,생활방범
서울특별시 광진구 아차산로60길 13-13 (구의동),37.55869,127.08901,1,생활방범
서울특별시 광진구 아차산로60길 13-8,37.5501,127.10234,1,생활방범
서울특별시 광진구 아차산로62길 14-2 (구의동),37.53443,127.08289,1,생활방범
서울특별시 광진구 아차산로63길 37 (구의동),37.5325,127.07343,1,생활방범
서울특별시 광진구 아차산로65길 14 (구의동),37.53869,127.06384,1,생활방범
서울특별시 광진구 아차산로65길 57 (구의동),37.54155,127.08951,1,생활방범
서울특별시 광진구 아차산로66길 8 (광장동),37.55134,127.09318,1,생활방범
서울특별시 광진구 아차산로69길 36 (광장동),37.54759,127.06881,1,생활방범
서울특별시 광진구 아차산로70 17-16,37.55508,127.07454,1,생활방범
서울특별시 광진구 아차산로70길 17-16 (과장동),37.56225,127.08447,1,생활방범
서울특별시 광진구 아차산로70길 62,37.53532,127.0806,1,생활방범
서울특별시 광진구 아차산로73길 15 (광장동),37.55044,127.09312,1,생활방범
서울특별시 광진구 아차산로78길 176 (광장동),37.56284,127.08033,1,생활방범
서울특별시 광진구 아차산로78길 53 (광장동),37.55826,127.087,1,생활방범
서울특별시 광진구 아차산생태공원-고구려정1,37.55803,127.08087,1,생활방범
서울특별시 광진구 아차산생태공원-고구려정2,37.55934,127.08502,1,생활방범
서울특별시 광진구 아차산생태공원-공영주차,37.56877,127.08213,1,생활방범
서울특별시 광진구 아차산생태공원-공원입구,37.56667,127.08319,1,생활방범
서울특별시 광진구 답십리로78길 11 (중곡동),37.55314,127.08637,1,어린이보호
서울특별시 광진구 동일로 222 (군자동),37.53637,127.08197,1,어린이보호
서울특별시 광진구 동일로 399 (중곡동),37.53386,127.08295,1,어린이보호
서울특별시 광진구 동일로 452-1 (중곡동),37.53239,127.08237,1,어린이보호
서울특별시 광진구 동일로 462 (중곡동),37.53993,127.08226,1,어린이보호
서울특별시 광진구 동일로4가길 2 (자양동),37.53369,127.07141,1,어린이보호
서울특별시 광진구 동일로4길 51 (자양동),37.53186,127.07446,1,어린이보호
"서울특별시 광진구 동일로52길 10 (군자동, 파인하우스)",37.53655,127.0652,1,어린이보호
서울특별시 광진구 천호대로107길 22 (중곡동),37.56711,127.08967,1,생활방범
서울특별시 광진구 천호대로107길 40,37.56539,127.08845,1,생활방범
